name,line
Itadori,A sea angel’s tougher?! Aww~!
[Action: The student council president slams the door open.],
President,Occult club!
Itadori,"Hey, Plankton President! What’s up?"
Sasaki,Ughhh…
[Action: The student council president slams a paper onto the table.],
President,"As you were previously informed, a research club with no real activities must forfeit its club room.

So vacate now!"
Itadori,"You really oughta be careful not to underestimate our members, President."
"[Action: Sasaki stands up, grabs a ledger, and slams it onto the table.]",
President,And what is that?
Group,Hehe…
Sasaki,"You know about the school’s rugby field being closed off, don't you?"
President,Yes. Some of the students who got sick actually had to be hospitalized.
Sasaki,"And so you don’t find that alarming? We’re talking about some tough rugby players here.

The players said that just before they started feeling sick… they heard mysterious sounds and voices coming from the field. And then, we found this newspaper article from 30 years ago. It talks about the disappearance of a certain Mr. Yoshida, who worked for the construction company. It says he was last sighted here at Sugisawa Third High School during its construction."
President,Huh?
Sasaki,"Yoshida was struggling to make ends meet, so he turned to loan sharks, and those organizations were after him.

Which means the whole mysterious disaster at the rugby field was caused by the vengeful spirit of Yoshida, whose body is buried there!"
President,"No, actually it was just ticks.

Hard ticks to be exact. Large blood-sucking bugs. If one bites you and infects you with SFTS, it can be fatal, so you have to be careful."
Itadori,"So what if it was ticks?! The occult club is trying to uncover occult activity, so it’s still a valid activity report!"
President,"This is not some kid’s game! Besides, the biggest problem is you, Yuuji Itadori!

You’re registered with track and field, not the occult club, so this club doesn’t even have the three members required to be a club!"
Itadori,Uhhh…
Sasaki,You did that?
Itadori,But I… I’m sure I wrote Occult Club…
Takagi,I’m the one who changed it!
Itadori,Coach Takagi?! What for?
Takagi,"Because, track and field team needs you on it!"
President,(Thoughts) So says the only teacher more problematic than the students.
Itadori,How many times do I have to tell you I’m not joining the team?!
Takagi,You are!
Itadori,"No, I’m not!"
Takagi,"However, I’m not some demon. So, if you can defeat me, I’ll excuse you from the team. And we’ll settle this… fair and square by competing!"
Itadori,That’ll work! You’ve got a deal!
"Sasaki, Iguchi",Yay!
President,(Thoughts) How fair and square is it to rewrite a student’s club application?
,
[Scene: Sometime later. Fushiguro walks through the rugby field.],
Fushiguro,(Thoughts) What’s with this rugby field?
[Action: A curse swims through the ground.],
Fushiguro,"(Thoughts) Is there a dead body buried here or something?

(Thoughts) Even if there is, I’m surprised to see a cursed spirit this high level here. It looks like a grade 2 curse. Must be the influence of that cursed object.

(Thoughts) Damn… Its presence is too strong to pin down. It feels like it’s close by, but it actually could be far away.

(Thoughts) This special-grade cursed object’s a serious pain.

(Thoughts) Who could have moved it? And where is it now?"
Students,"Hey, come here! Check this out! Coach Takagi is taking on Itadori from West Middle!

Wow, what are they competing for?"
[Action: Fushiguro walks toward the field where the competition is taking place. Takagi throws a shot-put.],
Takagi,Yeah! Hmph!
Students,14 meters!
Takagi,Hahaha!
Students,"Takagi! Takagi!

Wow, Takagi’s still got it!"
Sasaki,"Wow, is he famous or something?"
Iguchi,"It’s just a rumor, but I heard that he beat all the stages of “Ninja Warrior” and that he’s the reincarnation of a Mirko Cro Cop."
Sasaki,But Mirko’s not even dead yet.
Iguchi,He earned the nickname “Tiger of West Middle”.
Sasaki,That's lame.
Itadori,"Hey, so can I throw it however I want?"
Takagi,"Mm-hm! For this challenge you can throw however you want. After all, I know this event isn’t your strong suit. You’ve probably never really been…"
Itadori,Hmph.
[Action: Itadori flings the shot-put at a soccer goal.],
Student,"Uhh, about 30 meters, I guess."
Itadori,Yes! I crushed it!
Sasaki,Kinda more gorilla than tiger.
Iguchi,He threw that like a pitcher…
Sasaki,"You’d do really well on a sports team, Itadori.

Don’t force yourself to stay in our occult club."
Itadori,"Huh? Really? But even though you love scary stuff, without me, you could never go to haunted places."
Sasaki,But we like being scared…
[Action: A group of boys begins taking pictures with Takagi.],
Itadori,School rules are I have to be in some cub. And I could never keep this up.
Sasaki,"(Flashback) You don’t have to do anything! You can be a ghost member! After all, we’re the Occult Club!"
Itadori,(Flashback) Hehe!
Sasaki,"Yeah, I did say that."
Itadori,"Besides, I want to be able to go home by 6.

So if you two don’t mind, I’ll stay. I really like being in your club. It has a great vibe."
Sasaki,"Well, in that case, we’re happy to have you back."
Iguchi,Yeah.
Sasaki,Hehehe…
Fushiguro,(Thoughts) That guy’s incredible. He pulled off that shot without using any cursed energy. I wonder if he’s like Zen’in.
Itadori,"Woah, it’s already half past 4."
[Action: Itadori grabs his backpack.],
Itadori,"Later, Coach! Got stuff to do!"
Sasaki,Gahh!
Fushiguro,Huh?
"[Action: Itadori runs past Fushiguro. As he does, Fushiguro feels a spark.]",
Fushiguro,"Ah…!

(Thoughts) The presence of a cursed object!

Hey, hold it!"
[Action: Itadori sprints off.],
Fushiguro,How is he that fast?!
Student,I heard he can run the 50 meters in 3 seconds.
Student,Faster than my car!
,
"[Scene: In the evening, at Sugisawa Hospital. Itadori visits Wasuke.]",
Wasuke,"I told you not to come!

And stop bringing flowers with you every time!"
Itadori,"You always say that, but you know these aren’t for you. They’re for the nurses."
Wasuke,All the more reason not to! What’s happening with your school club?! Why aren’t you at your club?!
Itadori,"Oh, chill out, Grandpa! The club meeting was over hours ago. If I didn’t have extra time, I wouldn’t be visiting you."
Wasuke,"Good! Now listen to me since I’ve got free time, too."
Itadori,Not interested.
Wasuke,"Listen anyway. I’ve got some things I want to say before I reach the end. It’s about your parents, and I want you to understand --"
Itadori,"C’mon, I told you. I’m not interested.

Grandpa, please. Can you stop trying to act all cool before you die?"
Wasuke,"Every man has the right to try to go out with a little style. Get a clue, you useless grandson!"
Itadori,"Quit all your complaining.

You don’t have to put on a show for me."
Wasuke,Tsk… You’ve had it too easy.
[Action: Wasuke rolls over and closes his eyes.],
Wasuke,Yuuji?
Itadori,Hm?
Wasuke,"You’re a strong kid, so try to help others. Save the people you can, even if it's only those closest to you. It’s okay if you lose your way, and don’t worry about whether they’ll thank you or not. Just save as many as you can, even if you could only save one.

When you die, you should be surrounded by people. Don’t end up like me."
"[Action: After a few moments, Wasuke lies still.]",
Itadori,Grandpa?
,
[Scene: In the nurses’ office. The phone to Wasuke’s room rings. A nurse picks up the phone.],
Nurse 1,"Yes, what can I do for you?

Are you there? Mr. Itadori!"
"[Action: In Wasuke’s room, Itadori holds back his tears.]",
Itadori,Mm… Mmm…
Nurse 1,Hello? Are you there?
Itadori,My grandpa… is dead.
[Action: Wasuke is wheeled out from the room. Itadori packs his belongings and fills out a form.],
Nurse 2,"There, that’s all the paperwork we need from you."
Itadori,Yeah. Thanks for helping me.
Nurse 2,Are you sure you’re going to be okay?
Itadori,"Well, I, uhh… I’ve never done this before, so it doesn’t feel real yet. But then, I know Grandpa would snap at me if he saw me moping around like this. So I’ll just have to laugh as I roast him."
Nurse 2,Be respectful.
Itadori,Ah…
[Action: Itadori notices Fushiguro standing in the hall.],
Fushiguro,Yuuji Itadori?
Itadori,Hm?
Nurse 2,Hm?
Fushiguro,"I’m Fushiguro from Jujutsu High. I’d like to have a word with you, now."
[Action: Itadori and Fushiguro move to a more private area.],
Itadori,"Um, I’m in mourning right now."
Fushiguro,I understand but this can’t wait. The cursed object you possess is very dangerous. I need you to hand it over.
Itadori,Cursed object?
[Action: Fushiguro holds up his cell phone with a picture of the cursed object.],
Fushiguro,This.
Itadori,"Oh, yeah, that. Yeah, I found that.

I didn’t think much of it, but my friends were totally into it. What’s dangerous about it?"
Fushiguro,"Every year, there are more than 10,000 unexplained deaths and missing persons in Japan.

And most of those are the result of curses."
Itadori,From curses?
Fushiguro,"I don’t care whether you believe in them or not. The fact is they exist. Just listen.

Large pools of negative energy form easily in schools, hospitals, and so on.

Hardship, regret, shame… These emotions of mankind become the source of curses. That’s why most schools secretly keep a cursed object to serve as a protective talisman, just like the one you and your friends found."
Itadori,"If it protects us, shouldn’t we be grateful for it?"
Fushiguro,Just let me finish.
Itadori,Hmm…
Fushiguro,"A cursed object needs to be incredibly evil to keep lesser evil curses away. But its protection isn’t permanent.

The problem is that their seals weaken over time, and then they serve as a lure to attract and strengthen other curses.

The object you found is a dangerous one, classified as special-grade. Now hand it over before people start dying."
Itadori,"Ugh, I already told you that I don’t have it anymore. But here’s the box."
[Action: Itadori tosses the box of the cursed object to Fushiguro. He opens the box.],
Fushiguro,"(Thoughts) It’s empty… I’ve just been following a trace left by the object.

Hold it. Ngh… Where is it?!"
"[Action: As Itadori walks off, Fushiguro grabs his arm.]",
Itadori,"Knock it off. You see, my friends were planning to… uhh…"
Fushiguro,To do what?!
Itadori,"Well, they were saying, “Let's open it up to see what's inside it tonight.”"
Fushiguro,Wha…
Itadori,Uhh… Why? Is that bad?
[Action: Fushiguro backs away from Itadori.],
Fushiguro,"Ngh… It’s way worse than bad.

Your friends… are going to die."
,
"[Scene: At night, at school. Sasaki and Iguchi sit in the clubroom and fiddle around with the cursed object.]",
Sasaki,I can’t get it open.
Iguchi,Did we really need to sneak into the building for this? I’m gonna go turn on the lights.
Sasaki,"No, don't! We need some atmosphere. Enjoying the thrill is part of Occult Club, isn’t it?

It’s not like anything’s going to happen here, anyway."
[Action: Sasaki manages to pick off part of the seal.],
Sasaki,Ah… Hey!
[Action: Sasaki continues unraveling the seal.],
Sasaki,Mmm…
Iguchi,Hmm…
[Action: Sasaki completely removes the seal.],
Sasaki,Uh… Woah…
Iguchi,"Woah, a human finger…"
Sasaki,Is it real?
[Action: The candle is extinguished.],
"Sasaki, Iguchi",Ah!
Sasaki,You think…
[Action: A large explosion occurs.],
"Sasaki, Iguchi",Ah!
[Action: Sasaki drops the finger onto the seal. She gathers both the finger and seal in her hands.],
Sasaki,What's going on?
Iguchi,Ah…!
[Action: A curse appears above Sasaki and Iguchi from the ceiling.],
Curse,Urahhh!
,
"[Scene: At night, on the street. Itadori and Fushiguro are running toward the school.]",
Itadori,Are talismans that easy to open up?
Fushiguro,No. It’s impossible for those without cursed energy… normally.
Itadori,Oh… Go right here! Shortcut!
Fushiguro,This time the object itself is too strong. And the seal is ancient. It might as well be plain paper.
Itadori,I still don’t… get all this stuff about curses.
Fushiguro,Is that the building? Where are they?
Itadori,4th floor!
[Action: Itadori and Fushiguro are hit by a wave of pressure.],
Itadori,"Ah!

Woah, what is this pressure?"
Fushiguro,I’ll handle this.
[Action: Fushiguro climbs the gate to the school.],
Itadori,"Oh, no way! I’m coming.

I may not know those two that well, but… but they’re friends! I have to help!"
Fushiguro,You’re staying here.
,
"[Scene: At night, in the school. A curse roams the hallway as Sasaki hides behind a corner.]",
Sasaki,Ahh… Ah…!
Curse,What time is it?
Sasaki,(Thoughts) Just what is that thing?
Iguchi,Sa… saki…
Sasaki,Ah!
[Action: Iguchi approaches Sasaki.],
Sasaki,"Ah, Iguchi. Thank goodness! Where have you been?"
Iguchi,Help me… Ughh…
Sasaki,Ah… Ahh…!
[Action: A curse clamps around Iguchi’s head and pulls at his mouth.],
Iguchi,Ah…
Curse,What time is it?
[Action: The curse attacks Sasaki.],
Sasaki,Ahh!
[Action: Fushiguro runs upstairs toward Sasaki and Iguchi.],
Fushiguro,(Thoughts) The curse has been unleashed! Ngh… Its presence is everywhere!
[Action: Fushiguro bursts through the doors to find the curse.],
Fushiguro,Ngh!
Curse,Grr…
Fushiguro,"Out of my way!

Demon Dogs!"
[Action: Fushiguro summons two shikigami wolves.],
Curse,Grr…
Fushiguro,"Eat it, boy!"
,
"[Scene: At night, outside the school. Itadori stands alone.]",
Itadori,"(Thoughts) Am I really just going to sit here and wait because he told me to?

(Thoughts) What the hell am I so afraid of?"
Fushiguro,(Flashback) Your friends are going to die.
Itadori,"(Thoughts) He was right. I can sense death all the way out here.

(Thoughts) I’m afraid of dying. Was I afraid of it before? It didn’t feel like I was.

(Thoughts) I didn’t cry because I was scared. I just felt a little sad.

(Thoughts) But my grandpa’s death and the death I’m facing now… How are they any different?"
Wasuke,"(Flashback) You’re a strong kid, so try to help others."
Itadori,Ngh…
,
"[Scene: At night, in the school. Fushiguro continues to fight the curses.]",
Fushiguro,The curses are growing in number… They’re close!
"[Action: Fushiguro finds the main curse, who is consuming Iguchi and Sasaki.]",
Fushiguro,There you are.
"[Scene: At night, at the front gate. Itadori holds onto the bars.]",
Itadori,"(Thoughts) Grandpa was crabby, short-tempered, and stubborn. No one but me ever even visited him.

(Thoughts) “Don’t end up like me”, huh? Well, no chance of that!"
"[Scene: At night, in the school. Fushiguro fights the curse.]",
Fushiguro,Damn! Is it trying to swallow her and the cursed object?!
Sasaki,Ugh…
Fushiguro,I’m not gonna make it!
Curse,Grr?
"[Action: As the curse smiles at Fushiguro, it turns to the window. Itadori bursts through the window on the 4th floor.]",
Itadori,Ngh! Ugh…
Fushiguro,Itadori!
Itadori,"(Thoughts) I think you had a proper death, Grandpa."
[Action: Itadori punches the top of the curse and grabs Sasaki and Iguchi.],
Itadori,"Ngh… Ugh!

(Thoughts) But this kind of a death… is just wrong!"
[Action: Itadori places Sasaki and Iguchi on the ground.],
Curse,Grrr…
Iguchi,Ugh…
Sasaki,Ugh…
Itadori,So this is a curse. Not what I was expecting.
[Action: The curse explodes from Fushiguro’s attack.],
Curse,Urahh! Grahh…
[Action: Fushiguro’s demon dogs start eating the curse.],
Fushiguro,I should be asking what you’re doing here. But good job.
Itadori,"You’re pretty smug, aren't ya?

So, just curious, what are those things munching on the curse?"
Fushiguro,"My shikigami. Wait, you can see them?

Normally, a curse can’t be seen. Not unless you’re on the verge of death or in special places like this."
Itadori,"Yeah, that makes sense. I’ve never seen ghosts or weird stuff like this before."
Fushiguro,"Huh… But, you’re not scared, though?"
Itadori,"I was. I mean, for a little while there. But then, I thought everybody’s gonna die."
Fushiguro,Huh?
Itadori,"So, I wanna make sure that the people I know all have a chance at a proper death.

Ugh… Not that I really understand it."
"[Action: As Itadori stands up with Sasaki in his arms, the talisman falls from her skirt. He grabs the talisman.]",
Itadori,Woah… This it?
Fushiguro,"Yeah. The cursed object, Ryoumen Sukuna’s finger. It’s a miracle that thing didn’t swallow it."
Itadori,Why would anything eat this? Is it good?
Fushiguro,"Don’t be dense. You’d eat it to gain stronger cursed energy. Now, hand it over, it's dangerous."
Itadori,"Fine, here."
"[Action: As Itadori goes to give Fushiguro the finger, a curse hand appears from above.]",
Fushiguro,Ah…!
[Action: Fushiguro pushes Itadori away from the hand.],
Itadori,Ah!
Fushiguro,Run!
Itadori,Ugh! Ugh…
"[Action: The large curse from earlier that day appears from the dust, holding Fushiguro.]",
Curse,Urahh…
Itadori,Damn!
Curse,Urahhh…
Fushiguro,Nue!
"[Action: Before Nue can be summoned, the curse throws Fushiguro into the wall.]",
Fushiguro,Ngh… Hngh! Ugh…
"[Action: As Fushiguro falls to the ground, his demon dogs disappear.]",
Itadori,Ah…
Fushiguro,"Ngh… Ugh…

Guhh…"
Curse,Urahhh…
"[Action: The curse continues its attack on Fushiguro, throwing him out of the school. Fushiguro lands on the roof of a nearby building.]",
Fushiguro,Ngh! Ugh… Ugh…
Curse,Grrr…
Fushiguro,Ngh… Ugh…
Curse,Urahhh!
Fushiguro,Urgh…
[Action: The curse rears up to attack Fushiguro.],
Fushiguro,Damn it… Ngh… Why can’t I think straight?
[Action: Itadori jumps on the curse’s head.],
Itadori,Ngh!
Fushiguro,Itadori! Your only chance is to take those two and run for it!
Curse,Urahh!
Itadori,You’re in big trouble yourself!
"[Action: Itadori grabs onto the curse’s arm, but it flings him around.]",
Itadori,Ugh… Ngh… Ngh… Gahh!
[Action: Itadori is flung into the air.],
Fushiguro,Only a curse can beat a curse! You cannot defeat this!
Itadori,"Is that your idea of a pep talk?! At this rate, we’re both gonna die!"
Curse,Urahh!
Itadori,Ugh! Ngh…
[Action: Itadori runs up the length of the curse’s arm.],
Itadori,"If I quit now, I’ll be having this nightmare for weeks! Ugh… Besides…"
Curse,Urahh!
Itadori,Ngh… I know what I have to do.
Wasuke,(Flashback) Try to help others.
Itadori,I’m living with a rotten curse of my own already!
[Action: Itadori dodges one of the curse’s attacks but gets punched soon after.],
Itadori,Gah! Woah!
"[Action: As Itadori is flung into the air, Sukuna’s finger slips from his grasp. On the way down, he is captured by the curse.]",
Itadori,"Ah… Guh…

Ah… Ah!"
[Action: Itadori captures Sukuna’s finger in his mouth.],
Itadori,Ngh!
Fushiguro,You idiot! Throw it down to me or you’ll both get eaten!
Itadori,Ugh… Ngh!
"[Action: Before he falls into the curse’s mouth, Itadori catches himself on the curse’s teeth. The curse grabs Itadori and tries to force him into its mouth.]",
Itadori,"Ngh…!

(Flashback) Why would anything eat this? Is it good?"
Fushiguro,(Flashback) Don’t be dense. You’d eat  it to gain stronger cursed energy.
Itadori,Ugh… Ngh… Guh!
[Action: Itadori tosses Sukuna’s finger into the air.],
Itadori,"There’s a way I can save everyone! I just need to have my own cursed energy, don’t I?!"
Fushiguro,Don’t do it… Don't do it!
[Action: Itadori eats Sukuna’s finger.],
Fushiguro,"(Thoughts) Ryoumen Sukuna’s finger! That’s a special-grade cursed object! It’s a deadly poison! He’ll die for sure!

(Thoughts) But there is a chance… a one-in-a-million chance…"
[Action: Itadori bursts forth from the curse’s grasp with a new energy.],
Itadori,"Guh!

Ugh…"
"[Action: The curse rushes toward Itadori as he jumps back, but he takes care of the curse with one flick of his arm.]",
Fushiguro,Huh…?
Sukuna,Heh… Hehehe… Hahahahaha! Ah! Hahahaha! I knew it! The light feels best in the flesh!
[Action: Sukuna rips off Itadori’s shirt.],
Fushiguro,(Thoughts) This is the worst. A one-in-a-million chance worst-case scenario! The special-grade cursed object has incarnated!
Sukuna,"Cursed flesh is so boring. So now, where are the people? The women?"
[Action: Sukuna walks Itadori’s body onto the ledge of a building.],
Sukuna,"What a wonderful era to be reawakened. Women and children are crawling everywhere like maggots! How marvelous!

It’ll be a massacre! Hahahahaha!"
[Action: Itadori grabs onto his own face.],
Sukuna,"Oh? Huh?

Uhh… Uhh…"
[Action: Itadori walks his body back onto the building rooftop.],
Itadori,What do you think you’re doing with my body? Give it back.
Sukuna,"Hey, wait. How’re you doing that?"
Itadori,"Well, it's my body!"
Sukuna,"Wait, he’s suppressing me?"
Fushiguro,Stay right where you are! You’re no longer human!
Itadori,Huh?
Fushiguro,"Under Jujutsu regulation, Yuuji Itadori… by law I will now exorcize you… as a curse!"
Fushiguro,"Under jujutsu regulation, Yuuji Itadori… by law I will now exorcize you… as a curse!"
Itadori,"No, really, I’m feeling fine! Besides, you and I are both pretty beat up."
[Action: The markings on Itadori’s body disappear.],
Itadori,Shouldn’t we see a doctor?
Fushiguro,"(Thoughts) I can’t tell if this is Itadori speaking or the cursed object!

(Thoughts) Damn it… What do I do now?"
Gojou,What’s the situation?
Fushiguro,Huh? Satoru Gojou? What’re you doing here?
Gojou,"Hey.

I wasn’t planning on showing up, but you got kinda roughed up, kid. I’ll show the second-years. Say cheese!"
[Action: Gojou takes a bunch of pictures of Fushiguro.],
Gojou,"Haha… Wahaha, hohoho…

I got an earful from the higher-ups ‘cause the special-grade cursed object’s still missing. Thought I’d do a little sightseeing and stop by.

So, did you find it yet?"
Fushiguro,Hmm…
Itadori,Uhh…
[Action: Itadori raises his hand],
Gojou,Hm?
Itadori,"Sorry, but… I ate that thing."
Gojou,Really?
Itadori,I did.
Fushiguro,He did.
Gojou,Hm?
[Action: Gojou inspects Itadori.],
Itadori,Huh?
Gojou,"Hmmm?

Haha! Damn, it really did combine with you. That’s hilarious.

Anything weird about your body?"
Itadori,Nah. Seems okay.
Gojou,Can you swap with Sukuna at will?
Itadori,Sukuna?
Gojou,"Yeah, the curse you ate?"
Itadori,"Oh… Mm-hm. Yeah, I think I can do that."
[Action: Gojou starts stretching],
Gojou,"Okay, give us ten seconds. And change right back into yourself."
Itadori,"Yeah, but…"
Gojou,"Eh, don’t worry. I’m way too strong for him.

Megumi! Hold onto this for me."
Fushiguro,Ah…
[Action: Gojou tosses a shopping bag to Fushiguro.],
Fushiguro,So what is this?
Gojou,"Kikufuku from Kikusuian. It’s Sendai’s specialty, and it’s super good. I recommend the zunda and cream flavor!"
Fushiguro,(Thoughts) This guy actually went and bought souvenirs while people were out here dying?!
Gojou,It’s no souvenir. I’ll be eating this on the bullet train ride home.
[Action: Sukuna takes over Itadori’s body and jumps into the air],
Fushiguro,Look out!
Gojou,Kikufuku’s just the best.
[Action: Sukuna crashes into the ground.],
Fushiguro,Ngh… Ah… Ah…!
[Action: The smoke clears. Gojou sits on Sukuna’s back.],
Sukuna,Grr… Ah…
Gojou,I think it's the whipped cream inside that really makes the difference.
Sukuna,Grrr… Ahhhhhh!
"[Action: Sukuna moves to attack Gojou, but Gojou tosses him to the side and dodges his attacks.]",
Sukuna,Grahh! Grr… Dah! Ngh… Ngh!
[Action: Sukuna releases a flurry of attacks. Gojou dodges Sukuna’s attacks. Sukuna jumps away from Gojou.],
Gojou,"Since my student’s watching, I think I’ll show off a little, yeah?"
Sukuna,"Ngh! Ngh… Grr! Urahh!

(Thoughts) Is he unbelievably fast? No, that’s not it."
[Action: Gojou pushes Sukuna away.],
Sukuna,"Grahhh!

Ngh… For crying out loud… You Jujutsu sorcerers are always such a pain in the ass in any era!"
"[Action: Sukuna attacks Gojou, blasting through the rooftop.]",
Sukuna,Time doesn’t really have much meaning for me. Huh?
Gojou,Seven… Eight… Nine…
Fushiguro,Ugh…
Gojou,And that should do it.
[Action: Sukuna’s heart beats loudly.],
Sukuna,(Thoughts) Dammit! Again? Why can’t I seem to take over this body? Who the hell is this… Itadori… punk…
[Action: Itadori returns to his body.],
Itadori,Oh… How did it go?
Gojou,How about that? So you really can control that guy.
Itadori,"He’s kind of annoying, though, to tell the truth. And I keep hearing his voice."
Gojou,It’s a miracle that’s all he’s doing to you.
[Action: Gojou taps Itadori’s forehead.],
Itadori,Guh… Ugh…
[Action: Itadori loses consciousness.],
Fushiguro,What’d you do to him?
Gojou,I just knocked him out.
Fushiguro,Huh…
Gojou,"If he isn’t possessed by Sukuna when he wakes up, then he might have potential as a vessel.

Now I have a question for you. What do you think we should do with him?"
Fushiguro,Hmm… Well even if he is a vessel… Jujutsu regulations demand Itadori be executed.  However… I don’t want him to die.
Gojou,Personal?
Fushiguro,I suppose. So can you save him?
Gojou,Hehe…
[Action: Gojo lifts Yuji onto his shoulder.],
Gojou,A request from a precious student? Leave it to me!
,
"[Scene: In the present, in the room filled with seals. Gojou speaks with Itadori.]",
Gojou,"But the end result is still, your… execution."
Itadori,"Gah…

Your recap doesn’t match with the current events!"
Gojou,"Hey, sorry, I did my best.

You still have to die, but I got your sentence suspended."
Itadori,What's suspended mean? You’ll wait until later to kill me?
Gojou,Yep. I’ll just explain from the top.
[Action: Gojou takes out one of Sukuna’s fingers.],
Gojou,This is the same kind of thing as the cursed object you ate. There are twenty of these in total. We possess six of them.
Itadori,"Twenty? Oh, each finger and toe?"
Gojou,"No, Sukuna has four arms."
[Action: Gojou tosses the finger into the air and blasts it away into the wall.],
Itadori,Ngh…
Gojou,"As you can see, we can’t destroy them. The curse is that powerful."
[Action: Gojou retrieves the finger.],
Gojou,And the curse grows stronger every day. So our modern-day jujutsu seals just aren’t  keeping up. That’s where you come in.
Itadori,Huh?
Gojou,"When you die, the curse inside you will die, as well.

You see, our elders are cowards. They’re demanding we kill you right away.

But that would be a waste, wouldn’t you say?"
Itadori,A waste?
Gojou,"See, there’s no assurance another vessel capable of handling Sukuna will ever be born again. So, here's what I proposed to them.

Since they’ve already decided to execute you, why not wait until after you’ve absorbed all of Sukuna to do it? And the higher-ups agreed, so now you have two options before you.

You can die here and now or gather all the parts of Sukuna, absorb them, and then die."
,
,
,
[Scene: At Sugisawa Hospital. Sasaki sits at Iguchi’s bedside. Itadori knocks on the door.],
Sasaki,"Ah…

Itadori. Hi…"
Itadori,"Hello, Sasaki. How’s Iguchi doing?"
Sasaki,"Well, the doctors say there’s nothing seriously wrong with him, but he still hasn’t regained consciousness. And this whole thing’s my fault. I… I asked him to come to the school, and… and that night…"
[Action: Sasaki begins to cry.],
Sasaki,"I know you won’t believe it, but we got attacked… by some weird, scary monster. I didn’t… It captured both of us…"
Itadori,"I do believe you. ‘Cause I know that wasn’t a monster, exactly. It was a curse."
Sasaki,Huh?
Itadori,"That finger was a special-grade cursed object. It has the power to draw other curses to it and make them stronger. So none of what happened here was your fault.

It was mine for giving it to you in the first place."
[Action: Itadori grips the frame of Iguchi’s bed.],
Sasaki,Ah…
Itadori,"So, I’m sorry. But it’ll be alright. Someone who can fix Iguchi will be here tomorrow. "
Sasaki,Itadori?
Itadori,"Sorry, Sasaki, but I have somewhere I have to be."
Sasaki,Ah…
"[Action: Itadori turns to leave out the door, and Sasaki stands up from her chair.]",
Itadori,Buh-bye.
[Action: Itadori leaves the room.],
,
[Scene: At a crematorium. Itadori and Gojou sit outside.],
Gojou,Who passed away?
Itadori,My grandpa. Although he was more like a father to me.
Gojou,"I see. Sorry, it had to happen at a time like this.

So, have you decided what you want to do?"
Itadori,Are casualties like these from curses pretty common?
Gojou,"This one was a rather exceptional case, but in terms of damage, it happens all the time. It’s a good night when someone dies a normal death after encountering a curse.

Finding a body that’s torn to pieces is actually one of the better outcomes."
Itadori,Hmm…
Gojou,"If you plan to hunt down Sukuna, you’re going to witness some gruesome stuff… and I can’t guarantee you won’t end up that way yourself. So, I guess you can choose which hell you want."
